출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
96,7.2,0,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0,1,50.0,5,71.4,1,100.0,4,4,2,2,7,0,1,2,0,0,53,95.0,0,0,0.0,0,0,6,85.7,4,66.7,13,100.0,36,97.3,24,88.9,17,100.0,12,100.0,0,0.0,1,1,0,0,0,1,30,김봉수
96,6.4,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,1,1,50.0,3,50.0,0,0.0,6,6,1,1,3,1,0,0,0,0,52,93.0,0,0,0.0,0,0,20,90.9,6,75.0,29,96.7,17,94.4,18,81.8,33,100.0,1,100.0,0,0.0,0,1,0,0,0,0,39,민상기
96,6.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,100.0,4,66.7,0,0.0,5,6,3,5,1,1,0,0,0,0,46,84.0,0,1,50.0,0,0,11,84.6,7,58.3,20,100.0,19,82.6,18,72.0,20,90.9,8,100.0,0,0.0,0,1,0,0,0,0,4,불투이스
94,6.2,0,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0,3,75.0,3,60.0,3,75.0,7,8,7,7,6,0,0,3,0,0,73,96.0,1,4,100.0,0,0,22,100.0,7,87.5,46,97.9,20,95.2,34,91.9,30,100.0,9,100.0,0,0.0,1,1,0,0,0,0,20,연제운
87,6.6,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0,0,0,0.0,0,0.0,1,100.0,2,5,0,3,0,1,0,0,0,0,44,86.0,0,21,91.3,0,0,9,81.8,2,50.0,11,91.7,31,88.6,12,75.0,12,85.7,20,95.2,0,0.0,0,1,0,0,0,0,32,강윤성
95,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0,4,44.4,0,0.0,9,2,1,2,2,0,2,0,0,0,56,97.0,0,0,0.0,0,0,10,83.3,25,100.0,26,96.3,5,83.3,5,83.3,51,98.1,0,0.0,0,0.0,0,1,0,0,0,1,2,김영빈
95,6.8,0,0,0,0,0,0,0,0,0,1,0,1,0,0.0,1,1,33.3,2,100.0,0,0.0,5,5,1,5,3,0,1,1,0,0,59,92.0,1,1,100.0,0,0,27,93.1,17,94.4,14,87.5,28,93.3,14,77.8,43,97.7,2,100.0,0,0.0,0,1,0,0,0,0,4,강민수
98,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,100.0,2,100.0,2,66.7,3,9,2,3,3,0,2,0,0,0,85,98.0,0,0,0.0,0,0,34,97.1,32,100.0,31,93.9,22,100.0,16,88.9,65,100.0,4,100.0,0,0.0,0,1,0,0,0,1,3,이상민
98,7.0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0,0,1,33.3,0,0.0,0,0.0,2,4,2,3,0,0,3,0,0,0,48,89.0,2,13,86.7,0,0,11,84.6,11,91.7,17,81.0,20,95.2,4,44.4,35,97.2,9,100.0,1,50.0,0,1,0,0,0,1,23,윤종규
76,6.6,0,0,0,0,0,0,0,0,0,0,0,7,0,0.0,1,0,0.0,1,50.0,2,50.0,3,6,0,1,3,0,0,0,0,0,36,80.0,0,5,100.0,0,0,15,71.4,4,50.0,13,86.7,19,86.4,7,43.8,24,100.0,5,100.0,0,0.0,1,1,0,0,0,0,38,김륜성
98,6.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,1,1,33.3,1,33.3,0,0.0,2,5,2,1,2,0,0,0,0,0,44,88.0,0,0,0.0,0,0,27,87.1,16,88.9,19,95.0,9,75.0,5,45.4,37,100.0,2,100.0,0,0.0,0,1,0,0,0,0,33,임승겸
98,6.8,0,0,0,0,0,0,0,0,0,1,0,14,0,0.0,1,0,0.0,1,100.0,1,33.3,0,3,0,2,3,0,3,2,0,0,46,79.0,1,17,94.4,0,0,12,75.0,3,42.9,15,83.3,28,84.8,11,52.4,30,93.8,5,100.0,1,50.0,0,1,0,0,0,0,32,강윤성
96,7.4,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0.0,8,80.0,0,0.0,15,8,0,2,3,1,1,0,1,0,57,92.0,0,1,100.0,0,0,30,93.8,15,83.3,30,96.8,12,92.3,17,77.3,38,100.0,2,100.0,0,0.0,0,1,0,0,0,1,26,홍정호
47,6.2,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,1,1,50.0,1,25.0,0,0.0,3,5,1,1,2,0,0,0,0,0,19,90.0,0,1,100.0,0,0,4,66.7,2,100.0,8,88.9,9,90.0,9,81.8,4,100.0,6,100.0,0,0.0,0,1,0,0,0,0,7,윤석영
96,6.4,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,1,3,75.0,4,44.4,1,33.3,6,4,3,3,3,1,1,1,0,0,31,82.0,0,2,66.7,0,0,7,87.5,1,25.0,16,94.1,14,82.4,11,64.7,12,100.0,8,88.9,0,0.0,0,1,0,0,0,0,2,김영빈
96,6.4,0,0,0,0,0,0,0,0,0,4,0,0,0,0.0,1,1,50.0,0,0.0,1,100.0,4,5,2,4,1,0,0,2,0,0,43,98.0,0,0,0.0,0,0,19,95.0,7,87.5,23,100.0,13,100.0,15,93.8,27,100.0,1,100.0,0,0.0,0,1,0,0,0,0,4,서민우
94,7.0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0,1,50.0,1,100.0,0,0.0,2,6,5,7,6,1,0,0,0,0,66,94.0,0,2,100.0,0,0,23,95.8,5,71.4,24,100.0,37,94.9,23,85.2,27,100.0,16,100.0,0,0.0,1,1,0,0,0,1,30,김봉수
96,6.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,1,100.0,4,66.7,1,33.3,2,5,1,2,2,0,1,1,1,0,67,93.0,0,1,100.0,0,0,32,91.4,7,87.5,40,95.2,20,90.9,20,80.0,46,100.0,1,100.0,0,0.0,0,1,0,0,0,1,23,김경재
70,6.4,0,0,1,0,0,1,1,0,0,1,0,0,0,0.0,1,0,0.0,2,100.0,0,0.0,1,3,1,6,0,1,0,0,0,0,61,97.0,0,0,0.0,0,0,31,96.9,12,100.0,32,97.0,17,94.4,25,92.6,34,100.0,2,100.0,0,0.0,0,1,0,0,0,0,6,최보경
