출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
96,7.2,1,0,2,1,0,1,2,0,1,0,0,0,1,33.3,1,2,50.0,0,0.0,0,0.0,0,0,1,7,1,1,1,0,0,0,23,70.0,3,11,57.9,0,0,2,100.0,5,100.0,3,75.0,15,62.5,2,40.0,16,72.7,5,83.3,1,20.0,0,0,0,0,1,1,11,바로우
70,6.8,0,0,1,0,0,1,1,0,0,0,0,0,0,0.0,1,5,62.5,1,100.0,1,25.0,0,1,3,8,0,0,3,1,0,0,17,63.0,0,11,61.1,0,0,0,0.0,1,100.0,6,66.7,10,58.8,4,50.0,10,66.7,3,75.0,0,0.0,0,0,0,0,1,1,13,김보경
91,6.8,0,0,0,0,0,0,0,0,0,0,0,0,3,100.0,1,1,33.3,5,83.3,3,50.0,6,4,1,9,2,0,5,2,1,0,34,85.0,0,6,66.7,0,0,4,100.0,6,85.7,11,84.6,17,85.0,8,61.5,20,95.2,6,100.0,0,0.0,0,0,0,0,1,1,28,맹성웅
60,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,50.0,1,50.0,0,0.0,2,1,1,5,2,0,1,3,0,0,14,78.0,1,1,50.0,0,0,3,60.0,3,100.0,4,80.0,7,70.0,2,50.0,10,83.3,2,100.0,0,0.0,0,0,0,0,1,0,15,이재원
84,7.6,2,0,5,3,1,1,3,2,0,0,0,0,2,66.7,1,1,50.0,0,0.0,3,75.0,0,1,2,4,1,3,1,1,0,0,19,90.0,0,3,75.0,0,0,1,100.0,2,100.0,5,100.0,12,85.7,1,100.0,14,87.5,4,100.0,0,0.0,1,0,0,0,1,1,14,전진우
46,6.0,0,0,1,0,1,0,0,1,0,0,0,2,0,0.0,0,0,0.0,0,0.0,1,50.0,0,1,1,3,1,0,0,1,0,0,17,94.0,0,4,80.0,0,0,4,100.0,1,100.0,8,100.0,8,88.9,3,100.0,10,90.9,4,100.0,0,0.0,0,0,0,0,1,0,37,김훈민
96,7.4,0,1,0,0,0,0,0,0,0,0,0,9,0,0.0,0,0,0.0,0,0.0,1,50.0,0,4,0,6,2,0,0,0,0,0,50,89.0,1,24,96.0,0,0,6,66.7,3,100.0,10,76.9,37,92.5,11,68.8,16,94.1,23,100.0,0,0.0,0,0,0,0,1,1,22,정우재
96,7.2,0,0,3,0,1,2,1,2,0,1,4,0,0,0.0,0,0,0.0,0,0.0,2,66.7,2,4,1,6,2,1,1,0,1,0,53,88.0,2,15,88.2,0,0,5,100.0,2,100.0,16,76.2,35,94.6,18,72.0,19,100.0,16,100.0,1,25.0,0,0,0,0,1,1,8,이창민
93,6.2,0,0,0,0,0,0,0,0,0,2,5,5,0,0.0,1,1,100.0,1,100.0,1,100.0,0,4,1,4,1,0,1,0,0,0,25,68.0,1,3,60.0,0,0,5,50.0,0,0.0,10,76.9,15,68.2,10,52.6,4,57.1,11,100.0,2,20.0,0,0,0,0,1,0,13,박형진
96,6.4,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,1,1,100.0,0,0.0,1,50.0,2,4,4,7,3,0,0,4,0,0,40,87.0,0,5,83.3,0,0,7,87.5,2,100.0,21,100.0,17,73.9,12,75.0,17,89.5,11,100.0,0,0.0,0,0,0,0,1,0,25,최성근
76,7.6,1,0,1,1,0,0,1,0,0,0,0,7,0,0.0,1,0,0.0,0,0.0,0,0.0,2,2,4,4,0,0,0,0,0,0,28,76.0,1,12,92.3,0,0,6,60.0,0,0.0,8,66.7,20,87.0,9,50.0,11,100.0,8,100.0,1,20.0,0,0,0,0,1,1,24,김진호
76,7.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.0,1,1,100.0,0,0.0,1,50.0,1,1,1,8,6,2,1,1,0,0,31,91.0,0,9,90.0,0,0,4,100.0,1,100.0,11,100.0,19,86.4,12,80.0,12,100.0,7,100.0,0,0.0,0,0,0,0,1,1,4,서민우
51,6.0,0,0,1,0,0,1,0,1,0,1,0,0,0,0.0,0,0,0.0,1,100.0,0,0.0,1,0,0,5,0,1,0,0,0,0,35,90.0,0,4,80.0,0,0,1,100.0,4,100.0,9,90.0,22,88.0,7,70.0,18,94.7,10,100.0,0,0.0,0,0,0,0,1,0,22,한찬희
94,6.4,0,0,1,0,1,0,0,1,0,0,0,0,0,0.0,0,0,0.0,5,71.4,0,0.0,4,3,2,7,5,0,0,1,0,0,41,89.0,0,2,100.0,0,0,7,87.5,1,100.0,21,91.3,19,86.4,11,73.3,26,96.3,4,100.0,0,0.0,0,0,0,0,1,0,16,권혁규
79,7.0,0,0,2,0,0,2,0,2,0,0,0,0,0,0.0,0,1,100.0,5,83.3,1,50.0,3,4,3,3,4,0,2,1,1,0,34,77.0,1,4,100.0,0,0,3,75.0,6,75.0,17,89.5,11,64.7,6,50.0,25,86.2,3,100.0,0,0.0,0,0,0,0,1,1,6,김동현
90,7.0,0,0,2,0,1,1,1,1,0,0,0,4,1,100.0,0,0,0.0,2,100.0,0,0.0,1,1,2,4,3,1,1,2,0,0,27,84.0,0,5,100.0,0,0,0,0.0,2,50.0,5,83.3,20,90.9,6,66.7,13,86.7,8,100.0,0,0.0,1,0,0,0,1,1,24,김진호
46,6.6,0,0,0,0,0,0,0,0,0,0,0,3,0,0.0,1,0,0.0,1,100.0,1,33.3,2,0,0,4,0,0,2,0,1,0,11,69.0,0,2,66.7,0,0,3,60.0,0,0.0,0,0.0,11,73.3,0,0.0,8,72.7,3,100.0,0,0.0,0,0,0,0,1,0,28,민경현
81,8.0,1,1,4,1,1,2,1,3,0,3,0,0,1,100.0,0,0,0.0,0,0.0,0,0.0,0,2,0,5,4,0,0,1,0,0,38,86.0,2,7,87.5,0,0,4,100.0,7,87.5,18,90.0,13,81.2,6,85.7,24,85.7,8,88.9,3,60.0,0,0,0,0,1,1,26,팔로세비치
90,7.4,1,0,4,1,1,2,3,1,0,0,1,0,1,100.0,0,0,0.0,2,66.7,1,16.7,0,0,1,2,2,0,0,1,0,0,27,84.0,1,11,78.6,0,0,1,100.0,3,100.0,10,83.3,14,82.4,1,50.0,21,87.5,5,83.3,1,100.0,1,0,0,0,1,1,11,조영욱
81,7.2,0,1,0,0,0,0,0,0,0,0,1,1,1,100.0,0,0,0.0,0,0.0,1,50.0,0,0,1,0,3,0,0,3,0,0,17,85.0,3,9,90.0,0,0,1,100.0,0,0.0,5,100.0,12,80.0,4,57.1,11,100.0,2,100.0,1,25.0,0,0,0,0,1,1,7,나상호
98,6.6,0,0,3,1,1,1,1,2,0,0,0,1,0,0.0,1,1,33.3,0,0.0,0,0.0,0,1,0,4,0,2,1,0,0,0,21,84.0,0,5,71.4,0,0,2,66.7,3,75.0,4,100.0,14,82.4,5,83.3,13,86.7,3,75.0,0,0.0,1,0,0,0,1,0,26,권창훈
96,7.2,0,1,1,0,0,1,0,1,0,0,0,0,0,0.0,0,2,66.7,2,66.7,0,0.0,4,4,1,10,1,0,2,1,0,0,52,87.0,2,10,90.9,0,0,13,92.9,5,100.0,22,84.6,25,86.2,18,75.0,26,92.9,8,100.0,1,100.0,3,0,0,0,1,1,8,백승호
76,7.2,0,1,0,0,0,0,0,0,0,0,2,9,2,100.0,0,2,50.0,0,0.0,1,100.0,0,1,0,6,3,1,1,0,0,0,38,83.0,2,9,75.0,0,0,5,55.6,1,100.0,10,76.9,27,84.4,7,53.8,10,83.3,21,100.0,3,50.0,1,0,0,0,1,1,17,쿠니모토
96,6.2,0,0,1,0,0,1,1,0,0,0,0,8,0,0.0,1,4,57.1,1,100.0,0,0.0,1,3,3,2,1,1,1,0,0,0,30,83.0,1,11,84.6,0,0,2,66.7,1,33.3,8,80.0,21,91.3,14,70.0,12,100.0,4,100.0,0,0.0,1,0,0,0,1,0,19,강지훈
47,6.2,0,0,1,1,0,0,0,1,0,3,2,0,0,0.0,1,0,0.0,0,0.0,0,0.0,0,3,0,5,2,0,2,1,0,0,15,65.0,0,2,66.7,0,0,3,75.0,1,25.0,6,66.7,8,80.0,9,56.2,2,66.7,4,100.0,0,0.0,0,0,0,0,1,0,88,황문기
