출전시간,평점,득점,도움,슈팅,유효슈팅,블락된 슈팅,벗어난 슈팅,PA내슈팅,PA외슈팅,오프사이드,프리킥,코너킥,스로인,드리블 성공,드리블 성공률(%),Ishome,경합(지상)성공,경합(지상)성공률(%),경합(공중)성공,경합(공중)성공률(%),태클성공,태클성공률(%),클리어링,인터셉트,차단,획득,블락,볼미스,파울,피파울,경고,퇴장,패스성공,패스성공률(%),키패스,공격진영패스성공,공격진영패스성공률(%),중앙지역패스성공,중앙지역패스성공률(%),수비진영패스성공,수비진영패스성공률(%),롱패스성공,롱패스성공률(%),중거리패스성공,중거리패스성공률(%),숏패스성공,숏패스성공률(%),전진패스성공,전진패스성공률(%),횡패스성공,횡패스성공률(%),백패스성공,백패스성공률(%),크로스성공,크로스성공률(%),탈압박,포지션_DF,포지션_FW,포지션_GK,포지션_MF,isWin,번호,선수
49,6.8,0,0,1,1,0,0,1,0,0,0,0,1,0,0.0,0,2,50.0,0,0.0,0,0.0,0,0,0,0,2,1,0,1,0,0,6,86.0,0,5,83.3,0,0,0,0.0,0,0.0,1,100.0,5,83.3,1,50.0,2,100.0,3,100.0,0,0.0,0,0,1,0,0,0,50,박동진
95,7.2,0,2,2,2,0,0,1,1,2,0,0,0,0,0.0,0,1,50.0,0,0.0,0,0.0,1,0,0,7,2,1,0,4,0,0,21,88.0,2,16,88.9,0,0,0,0.0,0,0.0,5,71.4,16,94.1,4,80.0,4,80.0,13,92.9,1,20.0,0,0,1,0,0,1,11,바로우
46,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,100.0,0,0.0,0,0.0,0,2,0,2,0,1,1,0,0,0,10,91.0,3,7,87.5,0,0,0,0.0,1,100.0,2,100.0,7,87.5,0,0.0,5,83.3,5,100.0,0,0.0,0,0,1,0,0,0,17,서진수
71,6.6,0,0,2,1,0,1,1,1,1,0,0,0,1,33.3,1,0,0.0,4,36.4,0,0.0,0,0,1,0,0,1,1,0,1,0,10,83.0,1,4,80.0,0,0,0,0.0,0,0.0,1,100.0,9,81.8,1,100.0,5,71.4,4,100.0,0,0.0,0,0,1,0,0,0,28,김지현
98,7.4,1,2,4,1,0,3,2,2,0,0,0,0,0,0.0,0,1,50.0,2,66.7,1,50.0,2,0,1,2,2,2,1,0,1,0,30,91.0,4,11,84.6,0,0,1,50.0,0,0.0,8,80.0,22,95.6,4,66.7,18,94.7,8,100.0,0,0.0,0,0,1,0,0,1,98,에르난데스
79,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,0.0,1,16.7,0,0.0,0,2,1,1,0,0,1,0,0,0,5,63.0,0,3,75.0,0,0,1,100.0,0,0.0,0,0.0,5,83.3,2,40.0,1,100.0,2,100.0,0,0.0,0,0,1,0,0,0,17,고재현
83,7.4,1,0,1,1,0,0,1,0,0,0,0,0,0,0.0,1,3,75.0,4,40.0,0,0.0,0,1,0,5,1,0,0,1,0,0,16,67.0,2,7,63.6,0,0,0,0.0,0,0.0,3,42.9,13,81.2,2,33.3,9,69.2,5,100.0,0,0.0,0,0,1,0,0,1,63,마틴 아담
46,6.0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,0,0,0.0,1,50.0,0,0.0,0,0,1,1,0,4,0,1,0,0,2,33.0,0,1,50.0,0,0,0,0.0,0,0.0,1,33.3,1,33.3,0,0.0,2,40.0,0,0.0,0,0.0,0,0,1,0,0,0,14,전진우
72,6.2,0,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0.0,1,33.3,2,50.0,0,2,0,4,4,1,0,2,0,0,14,82.0,0,4,80.0,0,0,6,85.7,1,100.0,5,100.0,8,72.7,0,0.0,12,100.0,2,100.0,0,0.0,0,0,1,0,0,0,12,강현묵
96,7.4,1,0,5,2,0,3,2,3,0,0,0,0,1,33.3,0,4,57.1,11,45.8,0,0.0,0,2,1,4,1,1,0,1,0,0,16,62.0,1,9,75.0,0,0,1,100.0,0,0.0,4,44.4,12,70.6,2,33.3,13,68.4,1,100.0,1,100.0,0,0,1,0,0,1,9,라스
